company_name,founded_year,headquarters,employee_count,industry,is_public,stock_ticker,source_file,source_hash,ingested_at
OpenAI,2006,"Austin, TX",12793,Data Analytics,False,OPEN,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
Anthropic,2006,"San Francisco, CA",43747,FinTech,False,,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
Google DeepMind,2017,"Austin, TX",24274,Data Analytics,False,,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
Meta AI,2001,"Seattle, WA",20240,Data Analytics,True,,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
Microsoft,2018,"Austin, TX",48646,Data Analytics,False,,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
Amazon Web Services,2015,"Berlin, Germany",27826,SaaS,False,,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
Tesla,2008,"London, UK",5691,Cloud Computing,True,,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
NVIDIA,2017,"London, UK",22031,AI/ML,False,,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
Databricks,2003,"Berlin, Germany",17962,Data Analytics,True,DATA,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
Snowflake,2012,"London, UK",49545,Cloud Computing,True,,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
Stripe,2002,"Seattle, WA",36348,Data Analytics,True,STRI,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
Airbnb,1999,"London, UK",19967,Data Analytics,False,,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
Uber,2015,"San Francisco, CA",10144,FinTech,False,UBER,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
SpaceX,2016,"Berlin, Germany",31018,AI/ML,False,,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
Palantir,2005,"Berlin, Germany",42306,Cloud Computing,True,,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
Cloudflare,1998,"Austin, TX",4422,Cybersecurity,False,CLOU,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
MongoDB,2008,"Austin, TX",16952,SaaS,False,MONG,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
Elastic,2016,"San Francisco, CA",24508,Cybersecurity,True,ELAS,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
Confluent,1995,"London, UK",3884,Cloud Computing,False,,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
DataRobot,2012,"New York, NY",23471,Cloud Computing,True,,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
Scale AI,2003,"Berlin, Germany",23379,AI/ML,False,,/Users/gabrielaugustoferreira/Documents/General-Projects-Source-Code/yipitdata_assessment/data/raw/company_metadata.json,72c92e8fa24d8cf2c85e9425ebaba049d7f126e9,2026-08-19T05:55:36.527901+00:00
