arr_observation_id,company_id,article_id,observation_date,arr_usd,arr_raw_value,arr_currency,arr_is_range
ARR-7D4E93AFA4E02DF1C1921C61,COMP-7AD8A9012E991995,ART-6662498721EC5639,2023-02-23,310000000,"£244,094,488",GBP,False
ARR-6231E56A2D54D1437927C7B7,COMP-65AAA4A1B46C7F71,ART-3C26D030611D991E,2023-12-13,980000000,$980.0M,USD,False
ARR-E0E75BBCA48BF5DF1CBE954C,COMP-088472395B269710,ART-23A9065F44668E73,2021-10-26,16800000000,$16.800B,USD,False
ARR-B9366DCF35CE652C8E5F8333,COMP-EFD12553D6A4F7E5,ART-407A458BAE9F4BA3,2022-10-19,75000000000,75000.0M USD,USD,False
ARR-07279EB80596B5011633D652,COMP-F0C6ACFF24BC7941,ART-9ED0CCBF46966099,2023-02-07,1480000000,$1.480 billion,USD,False
ARR-7D5FF0F59F8AD7B1A04010D1,COMP-F0C6ACFF24BC7941,ART-03A5313A4D0BC07C,2022-11-05,1380000000,"€1,254,545,455",EUR,False
ARR-021D6F23FD4A99E3A596A47E,COMP-A19EE5A9FDC19109,ART-EE504E33AC7AF638,2021-10-25,320000000,$320.0M,USD,False
ARR-969C9ED81C9495992806CAAB,COMP-F1905B7E8DD98927,ART-5FA61EF948F5178C,2023-08-23,32000000000,$32.000B,USD,False
ARR-A8451B40BD9FBCBD5351F414,COMP-65AAA4A1B46C7F71,ART-97A42B9C8CF5FBEB,2020-01-15,260000000,$260.0M,USD,False
ARR-7B7F214082AFD16F140D983D,COMP-EFD12553D6A4F7E5,ART-1A35036FEEB1FBFF,2020-09-27,25200000000,$25.200B,USD,False
ARR-D773CBD950A7DBD430602DBA,COMP-54AADC94970AD31E,ART-7E7598A4E3DFA1BD,2020-04-20,1030000000,$1.030B,USD,False
ARR-25907403508B6BD8D84AD523,COMP-F4E821747C88DE40,ART-354E9590F0C19FDD,2021-07-24,3900000000,$3.900B,USD,False
ARR-4DB6B61B0493CA9E8CE6CC9F,COMP-65AAA4A1B46C7F71,ART-9603F85684C0A9D4,2023-01-15,790000000,"$790,000,000",USD,False
ARR-96E15C83267D1A2A3885C252,COMP-7AD8A9012E991995,ART-59BB3954D7E55130,2023-10-14,379999999,"£299,212,598",GBP,False
ARR-1C514325ECB3298CB446B7B1,COMP-2D3DAD417C3B2CB2,ART-16EE61869A1C96D0,2023-10-03,2400000000,"¥360,000,000,000",JPY,False
ARR-978BB4B12E39FFDF16CB7D12,COMP-7AD8A9012E991995,ART-510C7E230DF2DD87,2020-07-23,170000000,$170.0M,USD,False
ARR-2A6FD340148F59DCF77F28B2,COMP-296ABB15D702EA5D,ART-6E0864373C57121C,2021-09-11,930000000,$0.930 billion,USD,False
ARR-7E966872FEF77C654633D071,COMP-2D3DAD417C3B2CB2,ART-88EE79F1CADF39BE,2023-05-23,2150000000,$2.150B,USD,False
ARR-235DC081B1DFD6C1416E881E,COMP-088472395B269710,ART-4045B80717A01DFB,2020-11-22,12600000000,$12.600B,USD,False
ARR-376D9E9E0007C9E6C995BFF7,COMP-088472395B269710,ART-EE694255B3A841F7,2023-09-13,40500000000,"€36,818,181,818",EUR,False
ARR-26814114A5CECE411B744DF6,COMP-A5A4E8E5266709E9,ART-EA338A0D4B5EB97C,2023-03-26,1200000000,"€1,090,909,091",EUR,False
ARR-E462570FD7B4450393C4EEA8,COMP-F4E821747C88DE40,ART-5BDFAB460CD82297,2022-02-15,5000000000,$5.000 billion,USD,False
ARR-62818BB76DE55EB2D5DF50B1,COMP-7AD8A9012E991995,ART-04618A496336BEB6,2021-10-21,275000000,$275.0M,USD,False
ARR-93B9B0F680AD4E89C3D9F39E,COMP-088472395B269710,ART-D1480BF6DE268804,2023-09-05,40500000000,$38475.0M - $42525.0M,USD,True
ARR-DEDB671A18D6CC9DC6735DDD,COMP-A5B966CDCB605CA4,ART-BDEC25C707C2C524,2021-04-05,620000000,"€563,636,364",EUR,False
ARR-D0DB7E536425639761C1E571,COMP-11F3242118FF2ADD,ART-37C2B1D69C1C162E,2022-02-23,61000000000,$57950.0M - $64050.0M,USD,True
ARR-E7458C2A72ED4EE9B0FFC0A7,COMP-F4E821747C88DE40,ART-15E13167F9A88C0E,2023-04-11,7600000000,$7.600 billion,USD,False
ARR-E018D677049164FE5711F6EC,COMP-7AD8A9012E991995,ART-10F277F58785D737,2022-09-26,305000000,"£240,157,480",GBP,False
ARR-9EF5E0C6829102CDFD58D004,COMP-A5B966CDCB605CA4,ART-4C00F3E106B342A4,2020-08-22,455000000,$455.0 million,USD,False
ARR-1E0A3B86FE798274C17DE4FB,COMP-65AAA4A1B46C7F71,ART-E35CC2367F0871EF,2022-02-07,600000000,$0.600 billion,USD,False
ARR-18C03DD94F78E93993AFBE28,COMP-088472395B269710,ART-E8460B4DA07776E1,2021-07-25,16000000000,"¥2,400,000,000,000",JPY,False
ARR-55A38D9C197D0E2A897278E2,COMP-3DA36D688D43678F,ART-B8952A1003259AB5,2022-10-02,570000000,$0.570 billion,USD,False
ARR-F18436E3E82D73FBFC2959B6,COMP-4D08EC58743327BA,ART-6BEB966629606040,2023-01-02,2300000000,2300.0M USD,USD,False
ARR-58411AD7FAEFDDB91ACC40B5,COMP-EFD12553D6A4F7E5,ART-3C1D374D717F7CAF,2021-04-10,54000000000,"$54,000,000,000",USD,False
ARR-AACBCE3B2ED4B653FD12C6AF,COMP-3DA36D688D43678F,ART-5C5339E37B3DBED8,2020-07-29,135000000,$135.0 million,USD,False
ARR-A6092CD851AF6D69F9C92F58,COMP-A5A4E8E5266709E9,ART-547240DEB0AD14D5,2022-03-31,700000000,$700.0 million,USD,False
ARR-7C93C26F7F53BDDE4041D74F,COMP-A5A4E8E5266709E9,ART-C2C2CA72FDC03A92,2023-05-07,1400000000,$1330.0M - $1470.0M,USD,True
ARR-5B297AB46F28DB28365301B3,COMP-54AADC94970AD31E,ART-C50F9CF13C869158,2023-05-01,1920000000,$1.920B,USD,False
ARR-DD291EDE43BABBF8ACD757F7,COMP-F4E821747C88DE40,ART-CD5C810F1F85621E,2023-01-20,7000000000,$7000.0 million,USD,False
ARR-147C4C612890E124E0692C2A,COMP-FDA76B0BCC1E87CF,ART-58798D5DD65DAEE9,2020-09-11,730000000,730.0M USD,USD,False
ARR-794B1E5F70748AE51D78A535,COMP-088472395B269710,ART-EBC2741F7CBD8223,2020-11-20,12600000000,$12.600B,USD,False
ARR-45E4755AEDED92C4EEAFD3DD,COMP-11F3242118FF2ADD,ART-74AFD28BE2C1E94B,2021-07-19,55000000000,$55.000 billion,USD,False
