article_id,source_article_id,company_name,field,raw_value,issue
ART-77B8C33CF8A99CF7,ART0001,Scale AI,revenue,,invalid_missing
ART-047C7594BA536E68,ART0003,Meta AI,revenue,,invalid_missing
ART-8F6C489AB453D3B1,ART0005,Amazon Web Services,revenue,Not disclosed,invalid_missing
ART-6A416BB305E3BCB1,ART0008,Microsoft,revenue,,invalid_missing
ART-71EFBC734138531A,ART0012,Cloudflare,revenue,,invalid_missing
ART-2BA067402B955156,ART0018,Tesla,revenue,,invalid_missing
ART-908B48A1A6E80E3D,ART0025,OpenAI,revenue,Not disclosed,invalid_missing
ART-424E44825D1CDC82,ART0026,Anthropic,revenue,Not disclosed,invalid_missing
ART-20FBDAEFAD8BB2D9,ART0027,Airbnb,revenue,,invalid_missing
ART-3F43356397AA1EF0,ART0030,Stripe,revenue,Not disclosed,invalid_missing
ART-76C4808521856823,ART0032,DataRobot,revenue,Not disclosed,invalid_missing
ART-5E3383516293B278,ART0035,Microsoft,revenue,,invalid_missing
ART-C47DAD02CC778737,ART0037,Palantir,revenue,Not disclosed,invalid_missing
ART-CC94D307E1A65771,ART0042,DataRobot,revenue,,invalid_missing
ART-65F32531D86111D4,ART0043,Uber,revenue,Not disclosed,invalid_missing
ART-EDC6E3F3AB62E686,ART0044,Anthropic,revenue,Not disclosed,invalid_missing
ART-E4149CEDB7EE7BDB,ART0047,Anthropic,revenue,Not disclosed,invalid_missing
ART-AEA2C9D944FE033A,ART0048,Scale AI,revenue,,invalid_missing
ART-6D3F29AEE23CA8E1,ART0050,Databricks,revenue,Not disclosed,invalid_missing
ART-3F0D65C705A4A834,ART0052,MongoDB,revenue,Not disclosed,invalid_missing
ART-560849BDE0E45C00,ART0057,NVIDIA,revenue,Not disclosed,invalid_missing
ART-4C2B971531A543C6,ART0062,Databricks,revenue,,invalid_missing
ART-FD0194406604F4EB,ART0063,Scale AI,revenue,,invalid_missing
ART-98B47CA89DCD8BC4,ART0064,Anthropic,revenue,,invalid_missing
ART-8DC4445AF9A0FC25,ART0065,Scale AI,revenue,,invalid_missing
ART-762785527BD6AE44,ART0067,Cloudflare,revenue,,invalid_missing
ART-FFFE59351AB10779,ART0076,Palantir,revenue,Not disclosed,invalid_missing
ART-A64AA3FBE5041818,ART0083,Stripe,revenue,,invalid_missing
ART-07086F7019FA043F,ART0084,Cloudflare,revenue,,invalid_missing
ART-AB0E7A30900B299B,ART0089,Databricks,revenue,,invalid_missing
ART-8413A07589385C30,ART0092,Scale AI,revenue,Not disclosed,invalid_missing
ART-9C2051D0C52223CF,ART0095,Snowflake,revenue,Not disclosed,invalid_missing
ART-54E699E4718E41FD,ART0098,Amazon Web Services,revenue,Not disclosed,invalid_missing
ART-604B8836093835B0,ART0103,DataRobot,revenue,,invalid_missing
ART-65412F7805C63AB0,ART0105,Amazon Web Services,revenue,,invalid_missing
ART-C4C9426EEBB7CC6C,ART0106,Scale AI,revenue,Not disclosed,invalid_missing
ART-5C4B71AE1E0187FE,ART0107,Palantir,revenue,,invalid_missing
ART-1B0B6694D6C10C03,ART0110,DataRobot,revenue,Not disclosed,invalid_missing
ART-ECCF0D3DE3D04990,ART0111,Microsoft,revenue,Not disclosed,invalid_missing
ART-F3BC2E349C193B02,ART0123,Confluent,revenue,,invalid_missing
ART-73D129E273B9B503,ART0125,Scale AI,revenue,Not disclosed,invalid_missing
ART-C3B7882A84F01A04,ART0127,Snowflake,revenue,,invalid_missing
ART-37A96EAB3C311B14,ART0134,Microsoft,revenue,,invalid_missing
ART-3B8C162798100AA2,ART0135,Scale AI,revenue,,invalid_missing
ART-0C014C106B043E16,ART0136,Amazon Web Services,revenue,Not disclosed,invalid_missing
ART-872E3BC66526EB16,ART0139,Snowflake,revenue,,invalid_missing
ART-6A455A55F2E2390D,ART0140,Airbnb,revenue,,invalid_missing
ART-8E07F923E980AD7C,ART0143,Snowflake,revenue,Not disclosed,invalid_missing
ART-03BCD55866B744E7,ART0145,Uber,revenue,Not disclosed,invalid_missing
ART-69B8C1C85A52B660,ART0146,Palantir,revenue,Not disclosed,invalid_missing
ART-C1DE272A829F9E27,ART0148,DataRobot,revenue,,invalid_missing
ART-C73116A37ACF2E44,ART0150,MongoDB,revenue,Not disclosed,invalid_missing
